Sta         Lon         Lat      Ve         Vn       Vu  SigVe  SigVn    SigVu
CKIS    -159.80     -21.20      -63.5   33.8    0       0.8     0.5     0
KIRI    172.92     1.35        -67.10  30.7    0       1.1     0.6     0
KOKI    -159.76     21.98       -63.0   33.8    0       0.6     0.4     0
KWJI    167.73      8.72        -69.7   27.7    0       0.7     0.4     0
MARC    153.98      24.29       -73.3   21.5    0       1.4     1.2     0
POHN    158.21     6.96        -70.2   26.5    0       1.3     0.8     0
THTI    -149.61     -17.58      -66.6   32.6    0       0.8     0.4     0
TRUK    151.89     7.45        -72.0   22.5    0       1.6     0.9     0
TUVA    179.20      -8.53       -64.2   31.2    0       0.9     0.5     0
